w_20.7K,Gp_20.7K,w_20.7K,Gpp_20.7K,w_44.1k,Gp_44.1k,w_44.1k,Gpp_44.1k,w_97k,Gp_97k,w_97k,Gpp_97k,w_201k,Gp_201k,w_201k,Gpp_201k
2.0612517068912544,2.980260266327146,2.0612517068912544,4.378612433786005,1.002395191837187,2.846240025256313,1.002395191837187,4.282562346161279,-0.10115648263362778,2.973859921443082,-0.10115648263362778,4.344569249017253,-1.1211879840115975,3.1641542963560485,-1.1211879840115975,4.428902192867093
2.1129298711378426,3.0832419953743746,2.1129298711378426,4.430047865020717,1.0647688764378567,2.9707028290693698,1.0647688764378567,4.344709000091044,-0.02763581142214167,3.1204298240343946,-0.02763581142214167,4.417717036924185,-1.037363964301344,3.3307679881153827,-1.037363964301344,4.5119807659804945
2.164608035384431,3.1861240698180264,2.164608035384431,4.481418671362836,1.1271425610385264,3.0950713326983057,1.1271425610385264,4.406780436573,0.045884859789344395,3.2668109389402282,0.045884859789344395,4.490715550109956,-0.9535399445910906,3.496901642509988,-0.9535399445910906,4.594713458415544
2.216286199631019,3.28888031263429,2.216286199631019,4.532707846510183,1.1895162456391963,3.219314457436802,1.1895162456391963,4.468751878939591,0.11940553100083048,3.4129283246506614,0.11940553100083048,4.563505576448675,-0.869715924880837,3.66233736614826,-0.869715924880837,4.676943357450232
2.2679643638776072,3.391477869824988,2.2679643638776072,4.583894027593462,1.251889930239866,3.343391013259015,1.251889930239866,4.530590499501347,0.19292620221231652,3.5586779182897574,0.19292620221231652,4.636004937034474,-0.7858919051705837,3.826763817876104,-0.7858919051705837,4.75844634384052
2.319642528124196,3.49387562482083,2.319642528124196,4.634950449028756,1.3142636148405358,3.4672465097038265,1.3142636148405358,4.592252887944442,0.26644687342380263,3.7039158121651217,0.26644687342380263,4.708100069546624,-0.7020678854603302,3.9897420520703153,-0.7020678854603302,4.838906609365187
2.371320692370784,3.5960223050088636,2.371320692370784,4.685843685790583,1.3766372994412055,3.5908090375193575,1.3766372994412055,4.653681788083464,0.3399675446352887,3.8484441353740295,0.3399675446352887,4.779634986294662,-0.6182438657500767,4.1506650761067165,-0.6182438657500767,4.91788773263178
2.4229988566173724,3.697854260988022,2.4229988566173724,4.736532167304805,1.4390109840418752,3.713984008685303,1.4390109840418752,4.714801940655735,0.41348821584677475,3.9919929812547084,0.41348821584677475,4.850397216025419,-0.5344198460398233,4.308716460829313,-0.5344198460398233,4.994803146395017
2.4746770208639606,3.79929292434593,2.4746770208639606,4.786964456250521,1.5013846686425452,3.8366475396371627,1.5013846686425452,4.775514872544638,0.48700888705826084,4.134198238201261,0.48700888705826084,4.920100706891689,-0.45059582632956985,4.462840399573346,-0.45059582632956985,5.0688947445631465
2.526355185110549,3.900241992940663,2.526355185110549,4.83707730989746,1.5637583532432149,3.9586383022670826,1.5637583532432149,4.835692512510636,0.5605295582697469,4.2745761748772555,0.5605295582697469,4.988366513485238,-0.3667718066193164,4.611744596290023,-0.3667718066193164,5.139234394948786
2.578033349357137,4.000584459664821,2.578033349357137,4.886793578589448,1.6261320378438846,4.079747786343451,1.6261320378438846,4.895169620958416,0.634050229481233,4.412497541712441,0.634050229481233,5.0547036818040585,-0.2829477869090629,4.753962805910241,-0.2829477869090629,5.204766194329798
2.6297115136037252,4.100179695509172,2.6297115136037252,4.936020049065236,1.6885057224445545,4.199709169544092,1.6885057224445545,4.953735241216045,0.7075709006927191,4.547167048744805,0.7075709006927191,5.118495273098748,-0.19912376719880953,4.8879944568408495,-0.19912376719880953,5.26439972613081
2.681389677850314,4.198860918716362,2.681389677850314,4.9846454087849255,1.750879407045224,4.318185446850722,1.750879407045224,5.011123768470226,0.7810915719042051,4.67761815643489,0.7810915719042051,5.178997693698114,-0.11529974748855601,5.012504546567457,-0.11529974748855601,5.31714094170772
2.7330678420969017,4.296433515104556,2.7330678420969017,5.032538584045679,1.813253091645894,4.4347581978608455,1.813253091645894,5.067006842325881,0.8546122431156912,4.802736754050965,0.8546122431156912,5.235364156647381,-0.031475727778302647,5.126518798821601,-0.031475727778302647,5.362218114353018
2.7847460063434903,4.392674786534279,2.7847460063434903,5.079547771663276,1.8756267762465637,4.548919389872384,1.8756267762465637,5.120988108281446,0.9281329143271773,4.921327199267959,0.9281329143271773,5.286702394662573,0.05234829193195092,5.229530064064275,0.05234829193195092,5.399155814409303
2.8364241705900786,4.487335736026515,2.8364241705900786,5.125500510982284,1.9380004608472334,4.660069811250323,1.9380004608472334,5.172603849815444,1.0016535855386635,5.032225823691341,1.0016535855386635,5.332169051098336,0.13617231164220422,5.3214805081411605,0.13617231164220422,5.427787711522538
2.888102334836667,4.5801453704521915,2.888102334836667,5.170205091375963,2.0003741454479034,4.767528725933259,2.0003741454479034,5.2213332284076825,1.0751742567501494,5.134448293371176,1.0751742567501494,5.371087322000999,0.21999633135245775,5.402668248426179,0.21999633135245775,5.448244107693318
2.939780499083255,4.670817644305744,2.939780499083255,5.2134534302434465,2.062747830048573,4.87055940311536,2.062747830048573,5.266621752099062,1.1486949279616354,5.227334359594631,1.1486949279616354,5.403056464097758,0.3038203510627113,5.473659236523861,0.3038203510627113,5.460946336809443
