PBD6GP,,PBD6GPP,
X,Y,X,Y
3.558064516,2.510887772,2.140939597,2.568695652
3.688709677,2.685092127,2.291946309,2.693913043
3.833870968,2.872696817,2.427852349,2.819130435
3.979032258,3.067001675,2.593959732,2.979130435
4.109677419,3.274706868,2.714765101,3.104347826
4.283870968,3.522613065,2.880872483,3.222608696
4.414516129,3.75041876,2.97147651,3.354782609
4.516129032,4.005025126,3.152684564,3.493913043
4.70483871,4.266331658,3.333892617,3.646956522
4.85,4.494137353,3.409395973,3.772173913
4.966129032,4.708542714,3.575503356,3.932173913
5.125806452,4.956448911,3.711409396,4.064347826
5.241935484,5.144053601,3.877516779,4.203478261
5.387096774,5.311557789,4.02852349,4.32173913
5.532258065,5.458961474,4.134228188,4.495652174
5.735483871,5.566164154,4.255033557,4.620869565
5.880645161,5.646566164,4.436241611,4.787826087
5.996774194,5.726968174,4.55704698,4.885217391
6.170967742,5.800670017,4.738255034,5.031304348
6.287096774,5.860971524,4.82885906,5.128695652
6.417741935,5.927973199,4.919463087,5.24
6.620967742,5.981574539,5.130872483,5.365217391
6.708064516,6.021775544,5.236577181,5.448695652
6.882258065,6.068676717,5.432885906,5.532173913
7.012903226,6.135678392,5.629194631,5.587826087
7.143548387,6.175879397,5.901006711,5.643478261
7.259677419,6.236180905,6.172818792,5.706086957
7.390322581,6.296482412,6.354026846,5.775652174
7.535483871,6.376884422,6.520134228,5.831304348
7.680645161,6.457286432,6.67114094,5.907826087
7.825806452,6.537688442,6.822147651,5.991304348
7.985483871,6.618090452,6.94295302,6.053913043
,,7.093959732,6.116521739
,,7.19966443,6.2
,,7.365771812,6.269565217
,,7.516778523,6.339130435
,,7.60738255,6.422608696
,,7.743288591,6.499130435
,,7.833892617,6.554782609
,,7.984899329,6.631304348
