PBD41GP,,PBD41GPP,
X,Y,X,Y
1.438709677,3.314907873,0.434563758,3.459130435
1.583870968,3.502512563,0.570469799,3.619130435
1.714516129,3.75041876,0.661073826,3.702608696
1.830645161,3.978224456,0.796979866,3.834782609
1.975806452,4.199329983,0.932885906,3.932173913
2.135483871,4.447236181,1.129194631,4.085217391
2.266129032,4.675041876,1.219798658,4.210434783
2.382258065,4.896147404,1.340604027,4.314782609
2.498387097,5.056951424,1.461409396,4.433043478
2.643548387,5.204355109,1.612416107,4.579130435
2.716129032,5.324958124,1.77852349,4.690434783
2.846774194,5.412060302,1.823825503,4.822608696
3.020967742,5.505862647,2.035234899,4.954782609
3.108064516,5.552763819,2.140939597,5.073043478
3.238709677,5.606365159,2.276845638,5.163478261
3.441935484,5.659966499,2.397651007,5.260869565
3.601612903,5.686767169,2.639261745,5.365217391
3.833870968,5.753768844,2.820469799,5.406956522
4.124193548,5.787269682,3.062080537,5.393043478
4.327419355,5.820770519,3.243288591,5.372173913
4.54516129,5.867671692,3.560402685,5.337391304
4.835483871,5.894472362,3.771812081,5.288695652
5.082258065,5.887772194,4.104026846,5.267826087
5.3,5.927973199,4.345637584,5.219130435
5.517741935,5.961474037,4.677852349,5.212173913
5.720967742,5.988274707,4.919463087,5.205217391
5.996774194,6.035175879,5.130872483,5.19826087
6.229032258,6.068676717,5.342281879,5.233043478
6.461290323,6.115577889,5.538590604,5.302608696
6.722580645,6.155778894,5.75,5.420869565
6.95483871,6.236180905,5.901006711,5.553043478
7.1,6.296482412,6.067114094,5.636521739
7.274193548,6.370184255,6.27852349,5.740869565
,,6.429530201,5.83826087
,,6.610738255,5.956521739
,,6.761744966,6.046956522
,,6.988255034,6.172173913
,,7.169463087,6.304347826
,,7.33557047,6.450434783
