PBD10GP,,PBD10GPP,
X,Y,X,Y
2.672580645,2.604690117,0.932885906,2.506086957
2.788709677,2.939698492,1.129194631,2.652173913
2.890322581,3.147403685,1.234899329,2.749565217
2.962903226,3.207705193,1.310402685,2.84
3.064516129,3.448911223,1.506711409,2.951304348
3.209677419,3.703517588,1.672818792,3.076521739
3.369354839,3.978224456,1.808724832,3.250434783
3.5,4.239530988,1.91442953,3.396521739
3.64516129,4.494137353,2.05033557,3.500869565
3.717741935,4.735343384,2.276845638,3.667826087
3.920967742,4.943048576,2.397651007,3.806956522
4.080645161,5.123953099,2.473154362,3.932173913
4.153225806,5.204355109,2.639261745,4.043478261
4.429032258,5.412060302,2.744966443,4.168695652
4.530645161,5.458961474,2.880872483,4.300869565
4.675806452,5.532663317,2.956375839,4.412173913
4.85,5.586264657,3.062080537,4.523478261
4.980645161,5.626465662,3.213087248,4.648695652
5.111290323,5.659966499,3.36409396,4.794782609
5.270967742,5.673366834,3.530201342,4.933913043
5.358064516,5.706867672,3.666107383,5.045217391
5.546774194,5.747068677,3.786912752,5.156521739
5.837096774,5.793969849,3.953020134,5.24
5.996774194,5.847571189,4.104026846,5.295652174
6.258064516,5.894472362,4.224832215,5.323478261
6.475806452,5.934673367,4.375838926,5.337391304
6.664516129,5.988274707,4.526845638,5.337391304
6.867741935,6.021775544,4.69295302,5.35826087
6.969354839,6.068676717,4.919463087,5.344347826
7.1,6.128978224,5.145973154,5.316521739
7.24516129,6.162479062,5.327181208,5.330434783
,,5.568791946,5.372173913
,,5.795302013,5.427826087
,,5.931208054,5.483478261
,,6.082214765,5.546086957
,,6.263422819,5.636521739
,,6.369127517,5.72
,,6.505033557,5.789565217
,,6.686241611,5.88
,,6.852348993,5.949565217
,,6.94295302,6.033043478
,,7.109060403,6.109565217
