PBD86GP,,PBD86GPP,
X,Y,X,Y
-0.317741935,2.604690117,-1.196308725,3.146086957
-0.201612903,2.798994975,-1.030201342,3.264347826
-0.041935484,3.08040201,-0.909395973,3.417391304
0.103225806,3.261306533,-0.728187919,3.549565217
0.233870968,3.48241206,-0.592281879,3.702608696
0.393548387,3.75041876,-0.456375839,3.820869565
0.538709677,4.005025126,-0.33557047,3.980869565
0.65483871,4.219430486,-0.19966443,4.07826087
0.829032258,4.453936348,-0.003355705,4.252173913
0.959677419,4.721943049,0.102348993,4.391304348
1.090322581,4.929648241,0.298657718,4.565217391
1.119354839,5.036850921,0.434563758,4.676521739
1.25,5.237855946,0.58557047,4.843478261
1.424193548,5.371859296,0.736577181,4.975652174
1.540322581,5.485762144,0.812080537,5.08
1.670967742,5.559463987,0.902684564,5.163478261
1.830645161,5.633165829,1.008389262,5.246956522
2.00483871,5.700167504,1.174496644,5.316521739
2.164516129,5.733668342,1.295302013,5.406956522
2.425806452,5.780569514,1.521812081,5.469565217
2.585483871,5.807370184,1.77852349,5.462608696
2.788709677,5.834170854,2.035234899,5.393043478
3.079032258,5.881072027,2.276845638,5.344347826
3.253225806,5.907872697,2.503355705,5.302608696
3.427419355,5.921273032,2.744966443,5.260869565
3.674193548,5.934673367,2.926174497,5.212173913
3.833870968,5.961474037,3.062080537,5.177391304
4.124193548,5.988274707,3.303691275,5.135652174
4.341935484,5.988274707,3.5,5.086956522
4.559677419,5.994974874,3.651006711,5.031304348
4.762903226,6.001675042,3.922818792,4.989565217
5.024193548,5.994974874,4.16442953,4.982608696
5.227419355,5.994974874,4.375838926,4.982608696
5.474193548,6.008375209,4.541946309,4.975652174
5.648387097,6.028475712,4.783557047,5.024347826
5.924193548,6.048576214,4.979865772,5.086956522
6.2,6.095477387,5.176174497,5.142608696
6.446774194,6.142378559,5.312080537,5.253913043
,,5.478187919,5.330434783
,,5.674496644,5.434782609
,,5.810402685,5.511304348
,,5.991610738,5.608695652
,,6.14261745,5.67826087
,,6.27852349,5.775652174
,,6.384228188,5.866086957
,,6.565436242,5.949565217
