PBD6GP,,PBD6GPP,,PBD10GP,,PBD10GPP,,PBD41GP,,PBD41GPP,,PBD58GP,,PBD58GPP,,PBD86GP,,PBD86GPP,,PBD176GP,,PBD176GPP,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
7.012903226,6.135678392,5.629194631,5.587826087,6.258064516,5.894472362,4.224832215,5.323478261,4.327419355,5.820770519,4.677852349,5.212173913,4.182258065,5.954773869,2.895973154,5.295652174,3.427419355,5.921273032,2.744966443,5.260869565,3.209677419,5.954773869,2.895973154,4.926956522
7.143548387,6.175879397,5.901006711,5.643478261,6.475806452,5.934673367,4.375838926,5.337391304,4.54516129,5.867671692,4.919463087,5.205217391,4.429032258,5.974874372,3.152684564,5.260869565,3.674193548,5.934673367,2.926174497,5.212173913,3.587096774,5.961474037,2.986577181,4.906086957
7.259677419,6.236180905,6.172818792,5.706086957,6.664516129,5.988274707,4.526845638,5.337391304,4.835483871,5.894472362,5.130872483,5.19826087,4.617741935,5.974874372,3.36409396,5.219130435,3.833870968,5.961474037,3.062080537,5.177391304,3.906451613,5.968174204,3.243288591,4.885217391
7.390322581,6.296482412,6.354026846,5.775652174,6.867741935,6.021775544,4.69295302,5.35826087,5.082258065,5.887772194,5.342281879,5.233043478,4.893548387,5.961474037,3.515100671,5.184347826,4.124193548,5.988274707,3.303691275,5.135652174,4.182258065,5.974874372,3.530201342,4.773913043
7.535483871,6.376884422,6.520134228,5.831304348,6.969354839,6.068676717,4.919463087,5.344347826,5.3,5.927973199,5.538590604,5.302608696,5.096774194,5.968174204,3.741610738,5.135652174,4.341935484,5.988274707,3.5,5.086956522,4.443548387,5.988274707,3.802013423,4.753043478
7.680645161,6.457286432,6.67114094,5.907826087,7.1,6.128978224,5.145973154,5.316521739,5.517741935,5.961474037,5.75,5.420869565,5.329032258,5.988274707,3.983221477,5.107826087,4.559677419,5.994974874,3.651006711,5.031304348,4.777419355,6.001675042,3.998322148,4.739130435
7.825806452,6.537688442,6.822147651,5.991304348,7.24516129,6.162479062,5.327181208,5.330434783,5.720967742,5.988274707,5.901006711,5.553043478,5.575806452,6.021775544,4.30033557,5.073043478,4.762903226,6.001675042,3.922818792,4.989565217,5.082258065,6.021775544,4.255033557,4.732173913
7.985483871,6.618090452,6.94295302,6.053913043,7.40483871,6.236180905,5.568791946,5.372173913,5.996774194,6.035175879,6.067114094,5.636521739,5.837096774,6.028475712,4.632550336,5.08,5.024193548,5.994974874,4.16442953,4.982608696,5.430645161,6.041876047,4.55704698,4.773913043
,,7.093959732,6.116521739,7.520967742,6.309882747,5.795302013,5.427826087,6.229032258,6.068676717,6.27852349,5.740869565,6.083870968,6.075376884,4.904362416,5.100869565,5.227419355,5.994974874,4.375838926,4.982608696,5.793548387,6.068676717,4.677852349,4.815652174
,,7.19966443,6.2,7.637096774,6.363484087,5.931208054,5.483478261,6.461290323,6.115577889,6.429530201,5.83826087,6.316129032,6.108877722,5.08557047,5.128695652,5.474193548,6.008375209,4.541946309,4.975652174,6.011290323,6.122278057,4.798657718,4.899130435
,,7.365771812,6.269565217,7.796774194,6.457286432,6.082214765,5.546086957,6.722580645,6.155778894,6.610738255,5.956521739,6.577419355,6.195979899,5.236577181,5.184347826,5.648387097,6.028475712,4.783557047,5.024347826,6.272580645,6.182579564,4.94966443,4.982608696
,,7.516778523,6.339130435,7.956451613,6.551088777,6.263422819,5.636521739,6.95483871,6.236180905,6.761744966,6.046956522,6.853225806,6.242881072,5.402684564,5.274782609,5.924193548,6.048576214,4.979865772,5.086956522,6.519354839,6.236180905,5.176174497,5.08
,,7.60738255,6.422608696,,,6.369127517,5.72,7.1,6.296482412,6.988255034,6.172173913,7.1,6.323283082,5.553691275,5.365217391,6.2,6.095477387,5.176174497,5.142608696,6.708064516,6.323283082,5.35738255,5.233043478
,,7.743288591,6.499130435,,,6.505033557,5.789565217,7.274193548,6.370184255,7.169463087,6.304347826,7.274193548,6.41038526,5.780201342,5.462608696,6.446774194,6.142378559,5.312080537,5.253913043,6.896774194,6.38358459,5.463087248,5.323478261
,,7.833892617,6.554782609,,,6.686241611,5.88,7.477419355,6.443886097,7.33557047,6.450434783,7.448387097,6.477386935,5.961409396,5.580869565,6.65,6.195979899,5.478187919,5.330434783,7.027419355,6.443886097,5.659395973,5.44173913
,,7.984899329,6.631304348,,,6.852348993,5.949565217,7.680645161,6.57118928,7.531879195,6.568695652,7.608064516,6.54438861,6.14261745,5.692173913,6.838709677,6.256281407,5.674496644,5.434782609,7.216129032,6.524288107,5.765100671,5.532173913
,,,,,,6.94295302,6.033043478,7.883870968,6.664991625,7.682885906,6.700869565,7.782258065,6.638190955,6.338926174,5.775652174,7.027419355,6.32998325,5.810402685,5.511304348,7.390322581,6.59798995,5.931208054,5.671304348
,,,,,,7.109060403,6.109565217,8,6.75879397,7.86409396,6.826086957,7.970967742,6.7319933,6.474832215,5.900869565,7.24516129,6.417085427,5.991610738,5.608695652,7.535483871,6.70519263,6.082214765,5.789565217
,,,,,,7.320469799,6.193043478,,,8.030201342,6.930434783,,,6.625838926,5.977391304,7.390322581,6.470686767,6.14261745,5.67826087,7.666129032,6.805695142,6.203020134,5.866086957
,,,,,,7.426174497,6.304347826,,,,,,,6.867449664,6.088695652,7.535483871,6.551088777,6.27852349,5.775652174,7.767741935,6.906197655,6.369127517,5.977391304
,,,,,,7.546979866,6.394782609,,,,,,,7.018456376,6.220869565,7.637096774,6.644891122,6.384228188,5.866086957,7.941935484,6.993299832,6.520134228,6.08173913
,,,,,,7.773489933,6.513043478,,,,,,,7.184563758,6.346086957,7.796774194,6.752093802,6.565436242,5.949565217,,,6.67114094,6.15826087
,,,,,,7.984899329,6.603478261,,,,,,,7.305369128,6.443478261,7.927419355,6.81239531,6.761744966,6.053913043,,,6.791946309,6.234782609
,,,,,,,,,,,,,,7.456375839,6.554782609,,,6.867449664,6.151304348,,,6.912751678,6.311304348
,,,,,,,,,,,,,,7.652684564,6.666086957,,,7.063758389,6.255652174,,,7.018456376,6.40173913
,,,,,,,,,,,,,,7.833892617,6.805217391,,,7.244966443,6.380869565,,,7.139261745,6.506086957
,,,,,,,,,,,,,,7.984899329,6.916521739,,,7.47147651,6.506086957,,,7.244966443,6.589565217
,,,,,,,,,,,,,,,,,,7.667785235,6.617391304,,,7.456375839,6.72173913
,,,,,,,,,,,,,,,,,,7.758389262,6.72173913,,,7.592281879,6.819130435
,,,,,,,,,,,,,,,,,,7.969798658,6.846956522,,,7.682885906,6.916521739
,,,,,,,,,,,,,,,,,,8.060402685,6.923478261,,,7.833892617,6.979130435
,,,,,,,,,,,,,,,,,,,,,,7.954697987,7.027826087
