PBD1,,pBD1GPP,
X,Y,X,Y
-1.639383155,2.247148289,-1.854545455,3.701923077
-1.364175563,2.788973384,-1.621818182,3.961538462
-1.098457888,3.235741445,-1.35030303,4.192307692
-0.870699881,3.673003802,-1.117575758,4.442307692
-0.728351127,3.910646388,-0.865454545,4.673076923
-0.633451957,4.129277567,-0.700606061,4.836538462
-0.472123369,4.376425856,-0.603636364,4.932692308
-0.367734282,4.566539924,-0.467878788,5.057692308
-0.215895611,4.794676806,-0.341818182,5.144230769
-0.09252669,4.994296578,-0.225454545,5.278846154
0.03084223,5.174904943,-0.109090909,5.375
0.116251483,5.269961977,0.036363636,5.423076923
0.287069988,5.450570342,0.133333333,5.461538462
0.381969158,5.517110266,0.288484848,5.5
0.514827995,5.631178707,0.366060606,5.509615385
0.638196916,5.659695817,0.540606061,5.5
0.771055753,5.726235741,0.647272727,5.490384615
0.87544484,5.754752852,0.783030303,5.451923077
1.017793594,5.783269962,0.899393939,5.432692308
1.141162515,5.821292776,1.025454545,5.403846154
1.255041518,5.849809886,1.132121212,5.375
1.368920522,5.868821293,1.19030303,5.365384615
1.615658363,5.91634981,1.267878788,5.336538462
1.758007117,5.925855513,1.374545455,5.307692308
1.928825623,5.94486692,1.471515152,5.298076923
2.147093713,5.954372624,1.626666667,5.269230769
2.393831554,5.982889734,1.684848485,5.269230769
2.669039146,6.001901141,1.762424242,5.25
2.915776987,6.030418251,1.936969697,5.221153846
3.143534994,6.011406844,2.179393939,5.173076923
3.257413998,6.039923954,2.421818182,5.115384615
3.409252669,6.058935361,2.693333333,5.038461538
3.646500593,6.049429658,2.906666667,5.019230769
3.836298932,6.058935361,3.178181818,4.961538462
4.06405694,6.068441065,3.255757576,4.951923077
4.196915777,6.087452471,3.401212121,4.932692308
4.396204033,6.106463878,3.672727273,4.894230769
4.538552788,6.087452471,3.779393939,4.884615385
4.728351127,6.077946768,3.992727273,4.875
4.861209964,6.087452471,4.186666667,4.875
5.060498221,6.096958175,4.264242424,4.875
5.288256228,6.115969582,4.448484848,4.865384615
5.459074733,6.134980989,4.749090909,4.990384615
5.68683274,6.134980989,4.952727273,5.048076923
5.895610913,6.153992395,5.282424242,5.211538462
6.066429419,6.163498099,5.515151515,5.346153846
6.180308422,6.192015209,5.563636364,5.432692308
6.417556346,6.230038023,5.738181818,5.538461538
6.645314353,6.287072243,5.893333333,5.673076923
6.854092527,6.353612167,6,5.721153846
6.986951364,6.382129278,6.126060606,5.788461538
,,6.300606061,5.903846154
,,7.037575758,6.394230769
