PBD58GP,,PBD58GPP,
X,Y,X,Y
0.364516129,2.62479062,-1.13590604,2.617391304
0.524193548,2.912897822,-0.909395973,2.902608696
0.698387097,3.274706868,-0.743288591,3.027826087
0.8,3.529313233,-0.637583893,3.166956522
0.974193548,3.743718593,-0.456375839,3.306086957
1.090322581,3.998324958,-0.290268456,3.473043478
1.25,4.273031826,-0.184563758,3.619130435
1.366129032,4.547738693,-0.033557047,3.723478261
1.511290323,4.782244556,0.117449664,3.883478261
1.670967742,4.976549414,0.283557047,4.036521739
1.758064516,5.177554439,0.479865772,4.217391304
1.874193548,5.324958124,0.570469799,4.307826087
1.961290323,5.432160804,0.661073826,4.488695652
2.164516129,5.539363484,0.827181208,4.565217391
2.237096774,5.613065327,0.993288591,4.683478261
2.382258065,5.666666667,1.11409396,4.843478261
2.570967742,5.706867672,1.189597315,4.996521739
2.74516129,5.773869347,1.370805369,5.086956522
2.890322581,5.800670017,1.521812081,5.212173913
3.122580645,5.840871022,1.687919463,5.330434783
3.325806452,5.874371859,1.884228188,5.413913043
3.514516129,5.894472362,2.110738255,5.434782609
3.717741935,5.914572864,2.397651007,5.4
3.935483871,5.934673367,2.684563758,5.351304348
4.182258065,5.954773869,2.895973154,5.295652174
4.429032258,5.974874372,3.152684564,5.260869565
4.617741935,5.974874372,3.36409396,5.219130435
4.893548387,5.961474037,3.515100671,5.184347826
5.096774194,5.968174204,3.741610738,5.135652174
5.329032258,5.988274707,3.983221477,5.107826087
5.575806452,6.021775544,4.30033557,5.073043478
5.837096774,6.028475712,4.632550336,5.08
6.083870968,6.075376884,4.904362416,5.100869565
6.316129032,6.108877722,5.08557047,5.128695652
6.577419355,6.195979899,5.236577181,5.184347826
6.853225806,6.242881072,5.402684564,5.274782609
7.1,6.323283082,5.553691275,5.365217391
7.274193548,6.41038526,5.780201342,5.462608696
7.448387097,6.477386935,5.961409396,5.580869565
7.608064516,6.54438861,6.14261745,5.692173913
7.782258065,6.638190955,6.338926174,5.775652174
7.970967742,6.7319933,6.474832215,5.900869565
,,6.625838926,5.977391304
,,6.867449664,6.088695652
,,7.018456376,6.220869565
,,7.184563758,6.346086957
,,7.305369128,6.443478261
,,7.456375839,6.554782609
,,7.652684564,6.666086957
,,7.833892617,6.805217391
,,7.984899329,6.916521739
